time,date,lat,lon,alt,altUnit,sep,sepUnit,identity,navStatus,posMode,spd,status,talker,numSV
09:20:37,2024-06-17,52.2421355,6.8592466667,,,,,GNRMC,V,A,0.025,A,GN,
09:20:37,,52.2421355,6.8592466667,36.0,M,46.0,M,GNGGA,,,,,GN,12
09:20:37,,52.2421355,6.8592466667,,,,,GNGLL,,A,,A,GN,
09:20:38,2024-06-17,52.2421355,6.8592465,,,,,GNRMC,V,A,0.015,A,GN,
09:20:38,,52.2421355,6.8592465,36.1,M,46.0,M,GNGGA,,,,,GN,12
09:20:38,,52.2421355,6.8592465,,,,,GNGLL,,A,,A,GN,
09:20:39,2024-06-17,52.2421355,6.8592466667,,,,,GNRMC,V,A,0.017,A,GN,
09:20:39,,52.2421355,6.8592466667,36.2,M,46.0,M,GNGGA,,,,,GN,12
09:20:39,,52.2421355,6.8592466667,,,,,GNGLL,,A,,A,GN,
09:20:40,2024-06-17,52.2421356667,6.8592466667,,,,,GNRMC,V,A,0.015,A,GN,
09:20:40,,52.2421356667,6.8592466667,36.3,M,46.0,M,GNGGA,,,,,GN,12
09:20:40,,52.2421356667,6.8592466667,,,,,GNGLL,,A,,A,GN,
09:20:41,2024-06-17,52.2421355,6.8592465,,,,,GNRMC,V,A,0.024,A,GN,
09:20:41,,52.2421355,6.8592465,36.5,M,46.0,M,GNGGA,,,,,GN,12
09:20:41,,52.2421355,6.8592465,,,,,GNGLL,,A,,A,GN,
09:20:42,2024-06-17,52.2421356667,6.8592465,,,,,GNRMC,V,A,0.013,A,GN,
09:20:42,,52.2421356667,6.8592465,36.5,M,46.0,M,GNGGA,,,,,GN,12
09:20:42,,52.2421356667,6.8592465,,,,,GNGLL,,A,,A,GN,
09:20:43,2024-06-17,52.2421355,6.8592465,,,,,GNRMC,V,A,0.014,A,GN,
09:20:43,,52.2421355,6.8592465,36.5,M,46.0,M,GNGGA,,,,,GN,12
09:20:43,,52.2421355,6.8592465,,,,,GNGLL,,A,,A,GN,
09:20:44,2024-06-17,52.2421351667,6.8592465,,,,,GNRMC,V,A,0.018,A,GN,
09:20:44,,52.2421351667,6.8592465,36.6,M,46.0,M,GNGGA,,,,,GN,12
09:20:44,,52.2421351667,6.8592465,,,,,GNGLL,,A,,A,GN,
09:20:45,2024-06-17,52.2421351667,6.8592466667,,,,,GNRMC,V,A,0.013,A,GN,
09:20:45,,52.2421351667,6.8592466667,36.6,M,46.0,M,GNGGA,,,,,GN,12
09:20:45,,52.2421351667,6.8592466667,,,,,GNGLL,,A,,A,GN,
09:20:46,2024-06-17,52.2421355,6.8592463333,,,,,GNRMC,V,A,0.023,A,GN,
09:20:46,,52.2421355,6.8592463333,36.7,M,46.0,M,GNGGA,,,,,GN,12
09:20:46,,52.2421355,6.8592463333,,,,,GNGLL,,A,,A,GN,
09:20:47,2024-06-17,52.2421355,6.8592463333,,,,,GNRMC,V,A,0.02,A,GN,
09:20:47,,52.2421355,6.8592463333,36.8,M,46.0,M,GNGGA,,,,,GN,12
09:20:47,,52.2421355,6.8592463333,,,,,GNGLL,,A,,A,GN,
09:20:48,2024-06-17,52.2421355,6.8592465,,,,,GNRMC,V,A,0.018,A,GN,
09:20:48,,52.2421355,6.8592465,37.0,M,46.0,M,GNGGA,,,,,GN,12
09:20:48,,52.2421355,6.8592465,,,,,GNGLL,,A,,A,GN,
09:20:49,2024-06-17,52.2421356667,6.8592463333,,,,,GNRMC,V,A,0.033,A,GN,
09:20:49,,52.2421356667,6.8592463333,37.2,M,46.0,M,GNGGA,,,,,GN,12
09:20:49,,52.2421356667,6.8592463333,,,,,GNGLL,,A,,A,GN,
09:20:50,2024-06-17,52.2421358333,6.859246,,,,,GNRMC,V,A,0.005,A,GN,
09:20:50,,52.2421358333,6.859246,37.3,M,46.0,M,GNGGA,,,,,GN,12
09:20:50,,52.2421358333,6.859246,,,,,GNGLL,,A,,A,GN,
09:20:51,2024-06-17,52.2421358333,6.8592458333,,,,,GNRMC,V,A,0.019,A,GN,
09:20:51,,52.2421358333,6.8592458333,37.5,M,46.0,M,GNGGA,,,,,GN,12
09:20:51,,52.2421358333,6.8592458333,,,,,GNGLL,,A,,A,GN,
09:20:52,2024-06-17,52.2421353333,6.8592458333,,,,,GNRMC,V,A,0.02,A,GN,
09:20:52,,52.2421353333,6.8592458333,37.6,M,46.0,M,GNGGA,,,,,GN,12
09:20:52,,52.2421353333,6.8592458333,,,,,GNGLL,,A,,A,GN,
09:20:53,2024-06-17,52.2421351667,6.8592458333,,,,,GNRMC,V,A,0.009,A,GN,
09:20:53,,52.2421351667,6.8592458333,37.7,M,46.0,M,GNGGA,,,,,GN,12
09:20:53,,52.2421351667,6.8592458333,,,,,GNGLL,,A,,A,GN,
09:20:54,2024-06-17,52.2421353333,6.8592456667,,,,,GNRMC,V,A,0.011,A,GN,
09:20:54,,52.2421353333,6.8592456667,37.8,M,46.0,M,GNGGA,,,,,GN,12
09:20:54,,52.2421353333,6.8592456667,,,,,GNGLL,,A,,A,GN,
09:20:55,2024-06-17,52.2421356667,6.8592458333,,,,,GNRMC,V,A,0.01,A,GN,
09:20:55,,52.2421356667,6.8592458333,37.9,M,46.0,M,GNGGA,,,,,GN,12
09:20:55,,52.2421356667,6.8592458333,,,,,GNGLL,,A,,A,GN,
09:20:56,2024-06-17,52.2421358333,6.859246,,,,,GNRMC,V,A,0.034,A,GN,
09:20:56,,52.2421358333,6.859246,38.0,M,46.0,M,GNGGA,,,,,GN,12
09:20:56,,52.2421358333,6.859246,,,,,GNGLL,,A,,A,GN,
09:20:57,2024-06-17,52.2421356667,6.8592461667,,,,,GNRMC,V,A,0.01,A,GN,
09:20:57,,52.2421356667,6.8592461667,38.1,M,46.0,M,GNGGA,,,,,GN,12
09:20:57,,52.2421356667,6.8592461667,,,,,GNGLL,,A,,A,GN,
09:20:58,2024-06-17,52.2421353333,6.8592465,,,,,GNRMC,V,A,0.013,A,GN,
09:20:58,,52.2421353333,6.8592465,38.2,M,46.0,M,GNGGA,,,,,GN,12
09:20:58,,52.2421353333,6.8592465,,,,,GNGLL,,A,,A,GN,
09:20:59,2024-06-17,52.2421353333,6.8592466667,,,,,GNRMC,V,A,0.009,A,GN,
09:20:59,,52.2421353333,6.8592466667,38.2,M,46.0,M,GNGGA,,,,,GN,12
09:20:59,,52.2421353333,6.8592466667,,,,,GNGLL,,A,,A,GN,
09:21:00,2024-06-17,52.2421351667,6.859247,,,,,GNRMC,V,A,0.013,A,GN,
09:21:00,,52.2421351667,6.859247,38.3,M,46.0,M,GNGGA,,,,,GN,12
09:21:00,,52.2421351667,6.859247,,,,,GNGLL,,A,,A,GN,
09:21:01,2024-06-17,52.2421351667,6.8592473333,,,,,GNRMC,V,A,0.037,A,GN,
09:21:01,,52.2421351667,6.8592473333,38.3,M,46.0,M,GNGGA,,,,,GN,12
09:21:01,,52.2421351667,6.8592473333,,,,,GNGLL,,A,,A,GN,
09:21:02,2024-06-17,52.2421348333,6.8592471667,,,,,GNRMC,V,A,0.009,A,GN,
09:21:02,,52.2421348333,6.8592471667,38.4,M,46.0,M,GNGGA,,,,,GN,12
09:21:02,,52.2421348333,6.8592471667,,,,,GNGLL,,A,,A,GN,
09:21:03,2024-06-17,52.2421345,6.8592478333,,,,,GNRMC,V,A,0.155,A,GN,
09:21:03,,52.2421345,6.8592478333,38.4,M,46.0,M,GNGGA,,,,,GN,12
09:21:03,,52.2421345,6.8592478333,,,,,GNGLL,,A,,A,GN,
09:21:04,2024-06-17,52.2421345,6.8592463333,,,,,GNRMC,V,A,0.339,A,GN,
09:21:04,,52.2421345,6.8592463333,38.3,M,46.0,M,GNGGA,,,,,GN,12
09:21:04,,52.2421345,6.8592463333,,,,,GNGLL,,A,,A,GN,
09:21:05,2024-06-17,52.2421351667,6.8592445,,,,,GNRMC,V,A,0.231,A,GN,
09:21:05,,52.2421351667,6.8592445,38.3,M,46.0,M,GNGGA,,,,,GN,12
09:21:05,,52.2421351667,6.8592445,,,,,GNGLL,,A,,A,GN,
09:21:06,2024-06-17,52.2421395,6.859247,,,,,GNRMC,V,A,1.228,A,GN,
09:21:06,,52.2421395,6.859247,38.1,M,46.0,M,GNGGA,,,,,GN,12
09:21:06,,52.2421395,6.859247,,,,,GNGLL,,A,,A,GN,
09:21:07,2024-06-17,52.2421463333,6.8592493333,,,,,GNRMC,V,A,1.593,A,GN,
09:21:07,,52.2421463333,6.8592493333,38.2,M,46.0,M,GNGGA,,,,,GN,12
09:21:07,,52.2421463333,6.8592493333,,,,,GNGLL,,A,,A,GN,
09:21:08,2024-06-17,52.2421586667,6.8592526667,,,,,GNRMC,V,A,2.976,A,GN,
09:21:08,,52.2421586667,6.8592526667,38.3,M,46.0,M,GNGGA,,,,,GN,12
09:21:08,,52.2421586667,6.8592526667,,,,,GNGLL,,A,,A,GN,
09:21:09,2024-06-17,52.2421758333,6.8592585,,,,,GNRMC,V,A,3.95,A,GN,
09:21:09,,52.2421758333,6.8592585,38.0,M,46.0,M,GNGGA,,,,,GN,12
