time,date,lat,lon,alt,altUnit,sep,sepUnit,identity,navStatus,posMode,spd,status,talker,numSV
09:04:12,2024-06-17,52.2164251667,6.8776061667,,,,,GNRMC,V,A,0.039,A,GN,
09:04:12,,52.2164251667,6.8776061667,38.8,M,46.1,M,GNGGA,,,,,GN,12
09:04:12,,52.2164251667,6.8776061667,,,,,GNGLL,,A,,A,GN,
09:04:13,2024-06-17,52.2164251667,6.8776061667,,,,,GNRMC,V,A,0.041,A,GN,
09:04:13,,52.2164251667,6.8776061667,38.8,M,46.1,M,GNGGA,,,,,GN,12
09:04:13,,52.2164251667,6.8776061667,,,,,GNGLL,,A,,A,GN,
09:04:14,2024-06-17,52.216425,6.8776061667,,,,,GNRMC,V,A,0.01,A,GN,
09:04:14,,52.216425,6.8776061667,38.8,M,46.1,M,GNGGA,,,,,GN,12
09:04:14,,52.216425,6.8776061667,,,,,GNGLL,,A,,A,GN,
09:04:15,2024-06-17,52.2164248333,6.8776061667,,,,,GNRMC,V,A,0.013,A,GN,
09:04:15,,52.2164248333,6.8776061667,38.7,M,46.1,M,GNGGA,,,,,GN,12
09:04:15,,52.2164248333,6.8776061667,,,,,GNGLL,,A,,A,GN,
09:04:16,2024-06-17,52.2164248333,6.8776061667,,,,,GNRMC,V,A,0.011,A,GN,
09:04:16,,52.2164248333,6.8776061667,38.7,M,46.1,M,GNGGA,,,,,GN,12
09:04:16,,52.2164248333,6.8776061667,,,,,GNGLL,,A,,A,GN,
09:04:17,2024-06-17,52.2164245,6.877606,,,,,GNRMC,V,A,0.02,A,GN,
09:04:17,,52.2164245,6.877606,38.7,M,46.1,M,GNGGA,,,,,GN,12
09:04:17,,52.2164245,6.877606,,,,,GNGLL,,A,,A,GN,
09:04:18,2024-06-17,52.2164241667,6.877606,,,,,GNRMC,V,A,0.041,A,GN,
09:04:18,,52.2164241667,6.877606,38.7,M,46.1,M,GNGGA,,,,,GN,12
09:04:18,,52.2164241667,6.877606,,,,,GNGLL,,A,,A,GN,
09:04:19,2024-06-17,52.216424,6.8776058333,,,,,GNRMC,V,A,0.006,A,GN,
09:04:19,,52.216424,6.8776058333,38.7,M,46.1,M,GNGGA,,,,,GN,12
09:04:19,,52.216424,6.8776058333,,,,,GNGLL,,A,,A,GN,
09:04:20,2024-06-17,52.2164238333,6.8776058333,,,,,GNRMC,V,A,0.012,A,GN,
09:04:20,,52.2164238333,6.8776058333,38.7,M,46.1,M,GNGGA,,,,,GN,12
09:04:20,,52.2164238333,6.8776058333,,,,,GNGLL,,A,,A,GN,
09:04:21,2024-06-17,52.2164236667,6.8776058333,,,,,GNRMC,V,A,0.023,A,GN,
09:04:21,,52.2164236667,6.8776058333,38.7,M,46.1,M,GNGGA,,,,,GN,12
09:04:21,,52.2164236667,6.8776058333,,,,,GNGLL,,A,,A,GN,
