True_X,True_Y,Pred_X,Pred_Y
27.766809977264096,7.824550062962867,33.25699264121944,13.400632466288883
27.741605822800185,7.837919902669313,33.231762663025435,13.408537086194599
27.716401668336275,7.851289742375759,33.20619256436011,13.416523373084331
27.691197513872368,7.864659582082205,33.18105969368092,13.424495207743718
27.665993359408457,7.878029421788651,33.155319850852024,13.434821612246779
27.640789204944543,7.891399261495097,33.129883443166946,13.44347735823186
27.61558505048064,7.904769101201543,33.10353987279511,13.458414425251519
27.59038089601673,7.918138940907989,33.0772807640608,13.474160534958088
27.56517674155282,7.931508780614435,33.05121900710891,13.493163803080861
27.539972587088908,7.944878620320881,33.02551264694391,13.506742947152702
27.514768432625,7.958248460027327,32.99919809528025,13.517204924864856
27.48956427816109,7.971618299733773,32.97319972050782,13.524263506304905
27.46436012369718,7.984988139440219,32.94635774198879,13.530508819303108
27.43915596923327,7.9983579791466655,32.91973101601424,13.535412291730083
27.41395181476936,8.011727818853112,32.89195722118983,13.542067398982098
27.38874766030545,8.025097658559558,32.864338106925445,13.546639357594032
27.36354350584154,8.038467498266003,32.835673210667025,13.552809405367029
27.338339351377638,8.051837337972449,32.8076865480691,13.55902472218932
27.313135196913723,8.065207177678895,32.77880200122122,13.566858621969942
27.287931042449813,8.078577017385342,32.75094419115486,13.575363685258452
27.262726887985902,8.091946857091788,32.72226731411861,13.586649261860728
27.237522733521995,8.105316696798234,32.695695941195154,13.59865189485754
27.212318579058085,8.11868653650468,32.66886611122676,13.609811482322286
27.18711442459417,8.132056376211125,32.64279714004307,13.619523596482907
27.161910270130264,8.145426215917572,32.61575876844351,13.62894020486489
27.13670611566636,8.158796055624018,32.589243036181685,13.636545765347478
27.11150196120245,8.172165895330464,32.561316100712205,13.64507371380958
27.086297806738536,8.18553573503691,32.533785079168766,13.654030405582887
27.06109365227463,8.198905574743355,32.50510272854389,13.66350072338409
27.03588949781072,8.212275414449802,32.477621472617,13.675385116936269
27.010685343346807,8.225645254156248,32.448929987360614,13.683563467728845
26.985481188882897,8.239015093862694,32.421021093462585,13.696811060852497
26.96027703441899,8.25238493356914,32.39212977278656,13.707934057290075
26.93507287995508,8.265754773275585,32.364330278759255,13.720961339307351
26.90986872549117,8.279124612982033,32.336027481213264,13.732748243431132
26.88466457102726,8.292494452688478,32.30928044414195,13.74467392906999
26.85946041656335,8.305864292394924,32.281252098982904,13.756350365721985
26.83425626209944,8.31923413210137,32.253830243626666,13.768911633863837
26.80905210763553,8.332603971807815,32.22411015811191,13.779732091500136
26.783847953171623,8.345973811514263,32.19584993591816,13.792955336403239
26.758643798707716,8.359343651220708,32.16655087932328,13.805508658046378
26.7334396442438,8.372713490927154,32.14103895588774,13.8185535708935
26.70823548977989,8.3860833306336,32.114501200445645,13.830406419816498
26.683031335315984,8.399453170340045,32.08851128621755,13.841576189196886
26.657827180852077,8.412823010046493,32.06005788259465,13.852713415065807
26.632623026388163,8.426192849752939,32.03331542632087,13.863564210503185
26.607418871924256,8.439562689459384,32.00610727460638,13.872862709406633
26.582214717460342,8.45293252916583,31.979919124792488,13.8817096206718
26.557010562996435,8.466302368872276,31.953808027648066,13.88785174429978
26.531806408532525,8.479672208578723,31.927563020819534,13.894789884298149
26.506602254068618,8.493042048285169,31.901071666549498,13.899628050616428
26.481398099604707,8.506411887991614,31.875116487289674,13.903137142747823
26.45732852182409,8.524017777851661,31.84910693165635,13.903102226426668
26.43325894404347,8.541623667711708,31.82395168127961,13.904672317176363
26.409189366262847,8.559229557571754,31.799020907957257,13.90517389720344
26.38511978848223,8.576835447431801,31.774043889251956,13.906457390422347
26.36105021070161,8.594441337291848,31.748149833230272,13.905129868402042
26.33698063292099,8.612047227151894,31.72204764901757,13.905657697868037
26.31291105514037,8.62965311701194,31.69577967229067,13.904366098477794
26.28884147735975,8.647259006871987,31.669696383493246,13.907759713872522
26.26477189957913,8.664864896732034,31.643619269335247,13.90816427234914
26.240702321798512,8.68247078659208,31.617872829438923,13.910468827524141
26.21663274401789,8.700076676452127,31.59203443505045,13.909497264085616
26.19256316623727,8.717682566312174,31.56640128675538,13.909309593036951
26.16849358845665,8.73528845617222,31.540642470616675,13.90690431784762
26.144424010676037,8.752894346032267,31.514885122490213,13.906711994012596
26.12035443289541,8.770500235892314,31.489172770438316,13.902637319119748
26.096284855114792,8.78810612575236,31.464136824521418,13.902100882184612
26.072215277334173,8.805712015612407,31.439038239418963,13.897050451518211
26.048145699553555,8.823317905472454,31.414614424666368,13.894483873545298
26.024076121772936,8.8409237953325,31.390042092009438,13.887653705669663
26.000006543992317,8.858529685192547,31.36578827008377,13.883268734856017
25.97593696621169,8.876135575052594,31.341178682870137,13.875672457666326
25.95186738843108,8.89374146491264,31.3168854373247,13.870616063412555
25.927797810650457,8.911347354772687,31.292212042507614,13.863261289230223
25.90372823286984,8.928953244632734,31.26774905579454,13.858307208003822
25.879658655089216,8.94655913449278,31.24315316303837,13.849811550547642
25.8555890773086,8.964165024352827,31.218923542343774,13.843740054211807
25.831519499527975,8.981770914212873,31.19454939134563,13.837009002197476
25.80744992174736,8.99937680407292,31.17050135178725,13.833575394377078
25.783380343966737,9.016982693932968,31.145956506911446,13.827721468719574
25.75931076618612,9.034588583793012,31.121508694651865,13.823960390886498
25.7352411884055,9.05219447365306,31.09708517050582,13.8182268249777
25.71117161062488,9.069800363513108,31.07301152461882,13.812378413596164
25.68710203284426,9.087406253373151,31.04904665544636,13.806061110518371
25.66303245506364,9.1050121432332,31.025325736960625,13.800149791831032
