index,time,true_x,true_y,predicted_x,predicted_y
75000,2024-06-12 10:59:38.905995,19.77595410781793,50.63076401135436,16.943680965572675,43.58518243994317
75001,2024-06-12 10:59:38.912790,19.77595410781793,50.63076401135436,16.966740338866316,43.608259130876036
75002,2024-06-12 10:59:38.920365,19.77595410781793,50.63076401135436,16.987786525879876,43.63014200830223
75003,2024-06-12 10:59:38.927298,19.77595410781793,50.63076401135436,17.01049126506289,43.65303460349931
75004,2024-06-12 10:59:38.934336,19.77595410781793,50.63076401135436,17.031272675502215,43.674794922521386
75005,2024-06-12 10:59:38.941388,19.77595410781793,50.63076401135436,17.053978838952155,43.697707497620385
75006,2024-06-12 10:59:38.948315,19.77595410781793,50.63076401135436,17.074685563139866,43.7193761198117
75007,2024-06-12 10:59:38.955792,19.77595410781793,50.63076401135436,17.097940359398777,43.74251863906183
75008,2024-06-12 10:59:38.962727,19.77595410781793,50.63076401135436,17.118559225373147,43.765097771052794
75009,2024-06-12 10:59:38.969550,19.77595410781793,50.63076401135436,17.142084503632432,43.7889348849842
75010,2024-06-12 10:59:38.976416,19.77595410781793,50.63076401135436,17.163212824208927,43.81205622994425
75011,2024-06-12 10:59:38.984186,19.77595410781793,50.63076401135436,17.18681292830469,43.83624970831798
75012,2024-06-12 10:59:38.991201,19.77595410781793,50.63076401135436,17.208243000394845,43.85966089978034
75013,2024-06-12 10:59:38.998124,19.77595410781793,50.63076401135436,17.231978393133517,43.88377240500327
75014,2024-06-12 10:59:39.005096,19.77595410781793,50.63076401135436,17.252905454927962,43.906877522279316
75015,2024-06-12 10:59:39.011914,19.77595410781793,50.63076401135436,17.27678312474613,43.93056783661113
75016,2024-06-12 10:59:39.020657,19.77595410781793,50.63076401135436,17.296821042765636,43.95316819748729
75017,2024-06-12 10:59:39.027572,19.77595410781793,50.63076401135436,17.320891965715155,43.97666402385249
75018,2024-06-12 10:59:39.034453,19.77595410781793,50.63076401135436,17.34159987762783,43.99923088151729
75019,2024-06-12 10:59:39.041341,19.77595410781793,50.63076401135436,17.365770464158253,44.02272554127079
75020,2024-06-12 10:59:39.048275,19.77595410781793,50.63076401135436,17.386663952871515,44.04542662345692
75021,2024-06-12 10:59:39.055891,19.77595410781793,50.63076401135436,17.410856121559654,44.06909518115057
75022,2024-06-12 10:59:39.062965,19.77595410781793,50.63076401135436,17.4316497786887,44.09220997756846
75023,2024-06-12 10:59:39.069773,19.77595410781793,50.63076401135436,17.455964213672935,44.11629072945051
75024,2024-06-12 10:59:39.076817,19.77595410781793,50.63076401135436,17.47651581061683,44.140008036284996
75025,2024-06-12 10:59:39.084377,19.77595410781793,50.63076401135436,17.500925400674987,44.164277250555386
75026,2024-06-12 10:59:39.091528,19.77595410781793,50.63076401135436,17.521776783242977,44.18803220168974
75027,2024-06-12 10:59:39.098697,19.77595410781793,50.63076401135436,17.546459457263367,44.21226201551691
75028,2024-06-12 10:59:39.105935,19.77595410781793,50.63076401135436,17.567700338391965,44.23624143596449
75029,2024-06-12 10:59:39.112785,19.77595410781793,50.63076401135436,17.592548271677224,44.260704394941484
75030,2024-06-12 10:59:39.121523,19.77595410781793,50.63076401135436,17.613811447097014,44.28491544241113
75031,2024-06-12 10:59:39.128439,19.77595410781793,50.63076401135436,17.638689712086,44.30956455449824
75032,2024-06-12 10:59:39.135314,19.77595410781793,50.63076401135436,17.66004398040991,44.33377040202123
75033,2024-06-12 10:59:39.142227,19.77595410781793,50.63076401135436,17.684890517010857,44.358627616376296
75034,2024-06-12 10:59:39.149858,19.77595410781793,50.63076401135436,17.70653988107515,44.383034738902566
75035,2024-06-12 10:59:39.157468,19.77595410781793,50.63076401135436,17.731544592801015,44.40782810377432
75036,2024-06-12 10:59:39.164412,19.77595410781793,50.63076401135436,17.753170577657144,44.43189674128439
75037,2024-06-12 10:59:39.171714,19.77595410781793,50.63076401135436,17.778371358868498,44.4563284201254
75038,2024-06-12 10:59:39.178526,19.77595410781793,50.63076401135436,17.800026845441813,44.480208760948145
75039,2024-06-12 10:59:39.186604,19.77595410781793,50.63076401135436,17.82525314059008,44.504539167259935
75040,2024-06-12 10:59:39.193524,19.77595410781793,50.63076401135436,17.846609983293213,44.52825813637247
75041,2024-06-12 10:59:39.200693,19.77595410781793,50.63076401135436,17.871710978055575,44.552434695044994
75042,2024-06-12 10:59:39.207553,19.77595410781793,50.63076401135436,17.893156423703175,44.5759847056399
75043,2024-06-12 10:59:39.214859,19.77595410781793,50.63076401135436,17.918589263469258,44.60006927918103
75044,2024-06-12 10:59:39.222288,19.77595410781793,50.63076401135436,17.940697243996986,44.62342778825867
75045,2024-06-12 10:59:39.229182,19.77595410781793,50.63076401135436,17.966359530325875,44.647647138977106
75046,2024-06-12 10:59:39.236011,19.77595410781793,50.63076401135436,17.988999560648388,44.671408510307174
75047,2024-06-12 10:59:39.243054,19.77595410781793,50.63076401135436,18.014408205011087,44.69543255604765
75048,2024-06-12 10:59:39.250663,19.77595410781793,50.63076401135436,18.037495819579078,44.7190534794905
75049,2024-06-12 10:59:39.257662,19.77595410781793,50.63076401135436,18.062770651805643,44.74315951753796
75050,2024-06-12 10:59:39.264516,19.77595410781793,50.63076401135436,18.086133291986165,44.767287129282025
75051,2024-06-12 10:59:39.271349,19.77595410781793,50.63076401135436,18.111477254653103,44.79213322538678
75052,2024-06-12 10:59:39.278091,19.77595410781793,50.63076401135436,18.135379731289717,44.816465003760385
75053,2024-06-12 10:59:39.286785,19.77595410781793,50.63076401135436,18.16103156881516,44.841327268643866
